City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,hasaki,35.7333,140.8333,14.56,58,100,8.55,JP,2023-05-08 23:18:56
97,buurhakaba,2.8026,44.0781,24.14,83,9,5.29,SO,2023-05-08 23:27:08
98,thinadhoo,0.5333,72.9333,27.99,74,54,5.0,MV,2023-05-08 23:22:34
99,saint-joseph,-21.3667,55.6167,23.21,81,91,3.73,RE,2023-05-08 23:27:08
100,vadso,70.0744,29.7487,2.49,80,75,3.6,NO,2023-05-08 23:24:34
101,lat yao,15.751,99.7893,26.99,70,97,2.28,TH,2023-05-08 23:27:09
102,touros,-5.1989,-35.4608,26.42,79,55,5.67,BR,2023-05-08 23:23:38
103,turinskaya sloboda,57.6232,64.3858,0.02,57,0,2.23,RU,2023-05-08 23:27:09
104,iqaluit,63.7506,-68.5145,-4.61,73,20,7.72,CA,2023-05-08 23:18:24
105,magadan,59.5667,150.8,2.47,80,35,2.62,RU,2023-05-08 23:24:24
106,puerto natales,-51.7236,-72.4875,7.1,80,97,4.32,CL,2023-05-08 23:21:04
107,diglur,18.55,77.6,29.6,56,42,3.65,IN,2023-05-08 23:27:10
108,port augusta,-32.5,137.7667,12.92,70,0,1.73,AU,2023-05-08 23:22:25
109,camargo,27.6667,-105.1667,32.9,4,0,3.88,MX,2023-05-08 23:27:10
110,quellon,-43.1167,-73.6167,9.14,93,100,2.57,CL,2023-05-08 23:27:10
111,kone,-21.0595,164.8658,25.43,67,98,1.9,NC,2023-05-08 23:27:10
112,zhizdra,53.746,34.7395,0.93,77,18,1.56,RU,2023-05-08 23:27:11
113,yellowknife,62.456,-114.3525,14.29,47,75,5.14,CA,2023-05-08 23:20:26
114,salvador,13.8333,-88.9167,28.02,50,32,3.5,SV,2023-05-08 23:27:11
115,nemuro,43.3236,145.575,4.09,81,5,5.72,JP,2023-05-08 23:22:58
116,kenora,49.8167,-94.4337,11.54,87,100,3.6,CA,2023-05-08 23:25:13
117,geraldton,-28.7667,114.6,18.23,55,40,2.57,AU,2023-05-08 23:27:11
118,hawaiian paradise park,19.5933,-154.9731,26.73,71,40,3.6,US,2023-05-08 23:18:45
119,qamdo,31.1667,97.2333,0.39,61,67,2.46,CN,2023-05-08 23:27:12
120,chelak,39.9203,66.8611,13.42,41,0,2.83,UZ,2023-05-08 23:27:12
121,ushuaia,-54.8,-68.3,8.81,57,75,6.17,AR,2023-05-08 23:20:48
122,hilo,19.7297,-155.09,27.38,67,40,3.6,US,2023-05-08 23:22:32
123,la libertad,-2.2333,-80.9,28.81,89,0,2.57,EC,2023-05-08 23:27:13
124,alice springs,-23.7,133.8833,6.75,57,0,0.51,AU,2023-05-08 23:20:32
125,whitehorse,60.7161,-135.0538,12.23,27,20,7.15,CA,2023-05-08 23:18:58
126,debre tabor,11.85,38.0167,12.34,80,100,2.91,ET,2023-05-08 23:27:13
127,maceio,-9.6658,-35.7353,25.69,88,20,0.51,BR,2023-05-08 23:27:13
128,playa del ingles,27.7567,-15.5787,21.86,70,0,6.98,ES,2023-05-08 23:27:14
129,harper,4.375,-7.7169,27.23,84,46,3.42,LR,2023-05-08 23:27:14
130,idri,27.5,13.2667,27.21,13,43,4.03,LY,2023-05-08 23:27:14
131,muromtsevo,56.3724,75.2418,8.52,40,100,2.35,RU,2023-05-08 23:27:15
132,margaret river,-33.95,115.0667,17.35,51,99,6.35,AU,2023-05-08 23:19:38
133,fort abbas,29.1925,72.8536,26.72,30,0,3.74,PK,2023-05-08 23:27:15
134,invercargill,-46.4,168.35,12.19,90,71,3.26,NZ,2023-05-08 23:22:43
135,chantada,42.6088,-7.7712,15.39,90,97,1.5,ES,2023-05-08 23:27:16
136,la passe,45.5549,-0.8967,14.13,83,100,2.68,FR,2023-05-08 23:19:44
137,upington,-28.4478,21.2561,14.21,35,0,1.54,ZA,2023-05-08 23:27:16
138,kodinsk,58.6881,99.1844,9.33,74,38,2.4,RU,2023-05-08 23:27:17
139,lihue,21.9789,-159.3672,28.58,70,75,7.72,US,2023-05-08 23:22:29
140,alofi,-19.0595,-169.9187,28.94,74,40,3.6,NU,2023-05-08 23:22:55
141,malango,-2.9627,119.9001,20.07,98,100,1.05,ID,2023-05-08 23:23:29
142,yuzhno-kurilsk,44.0306,145.8556,4.73,78,7,4.59,RU,2023-05-08 23:23:52
143,nantucket,41.2835,-70.0995,18.08,74,0,3.6,US,2023-05-08 23:27:18
144,ilulissat,69.2167,-51.1,-0.99,86,100,2.57,GL,2023-05-08 23:18:43
145,san patricio,28.017,-97.5169,29.05,63,60,7.1,US,2023-05-08 23:27:18
146,coquimbo,-29.9533,-71.3436,12.85,100,20,1.54,CL,2023-05-08 23:23:16
147,baiculesti,45.0667,24.7,7.48,98,100,0.34,RO,2023-05-08 23:27:19
148,daru,-9.0763,143.2092,26.39,89,100,7.39,PG,2023-05-08 23:19:59
149,kirensk,57.7853,108.1119,7.85,84,51,2.79,RU,2023-05-08 23:27:19
150,kununurra,-15.7667,128.7333,20.99,28,12,5.66,AU,2023-05-08 23:27:19
151,mahdia,35.5047,11.0622,17.97,84,100,7.52,TN,2023-05-08 23:22:48
152,georgetown,5.4112,100.3354,27.96,92,20,1.03,MY,2023-05-08 23:17:56
153,revda,56.801,59.9303,-1.98,73,7,1.21,RU,2023-05-08 23:22:51
154,arno,60.1167,18.6333,5.99,59,73,4.92,SE,2023-05-08 23:25:26
155,namie,37.4833,141.0,13.73,62,84,1.4,JP,2023-05-08 23:27:20
156,akrehamn,59.2667,5.1833,13.45,58,75,8.75,NO,2023-05-08 23:27:20
157,chebba,35.2372,11.115,17.76,80,97,10.05,TN,2023-05-08 23:27:21
158,aldinga beach,-35.2793,138.4604,14.55,77,25,2.9,AU,2023-05-08 23:27:21
159,newport,51.5877,-2.9984,13.71,95,100,2.84,GB,2023-05-08 23:27:21
160,polyarnyy,69.1989,33.4478,1.16,94,100,5.0,RU,2023-05-08 23:27:22
161,forster,-32.1667,152.5167,17.3,54,76,2.24,AU,2023-05-08 23:23:55
162,tralee,52.2704,-9.7026,9.77,96,11,2.17,IE,2023-05-08 23:23:16
163,labrador city,52.9463,-66.9114,0.95,51,75,4.12,CA,2023-05-08 23:27:22
164,arraial do cabo,-22.9661,-42.0278,22.98,94,0,6.17,BR,2023-05-08 23:23:30
165,stupino,54.9008,38.0708,1.04,73,18,1.38,RU,2023-05-08 23:27:22
166,ribeira grande,38.5167,-28.7,15.99,94,99,1.34,PT,2023-05-08 23:22:30
167,kristiansund,63.1115,7.732,12.36,50,75,1.54,NO,2023-05-08 23:27:23
168,whangarei,-35.7317,174.3239,18.93,97,100,5.43,NZ,2023-05-08 23:27:23
169,birzebbuga,35.8258,14.5269,17.38,94,20,5.14,MT,2023-05-08 23:27:23
170,lebu,-37.6167,-73.65,10.08,79,99,6.09,CL,2023-05-08 23:17:37
171,bani mazar,28.5036,30.8004,20.12,54,0,6.38,EG,2023-05-08 23:27:24
172,tekman,39.6436,41.5078,4.95,93,81,1.05,TR,2023-05-08 23:27:24
173,santa cruz,-17.8,-63.1667,20.03,77,75,3.6,BO,2023-05-08 23:24:00
174,matoury,4.8483,-52.3317,24.98,94,75,1.54,GF,2023-05-08 23:27:24
175,nar'yan-mar,67.6713,53.087,-0.42,84,100,6.91,RU,2023-05-08 23:22:54
176,yaren,-0.5472,166.916,28.59,77,100,4.26,NR,2023-05-08 23:24:28
177,hamilton,39.1834,-84.5333,24.97,67,75,4.12,US,2023-05-08 23:23:31
178,urzhar,47.093,81.6294,11.64,54,1,2.09,KZ,2023-05-08 23:24:33
179,wodonga,-36.1167,146.8833,10.15,81,13,1.26,AU,2023-05-08 23:22:35
180,leer,53.2316,7.461,15.53,97,100,3.48,DE,2023-05-08 23:27:26
181,clarksburg,39.2807,-80.3445,23.25,61,100,3.09,US,2023-05-08 23:22:36
182,enewetak,11.3474,162.3373,27.44,80,100,7.41,MH,2023-05-08 23:22:35
183,phang nga,8.4509,98.5298,26.02,91,100,0.73,TH,2023-05-08 23:27:26
184,wynyard,-41.0,145.7167,11.66,78,100,4.41,AU,2023-05-08 23:27:27
185,saquarema,-22.92,-42.5103,23.08,89,14,5.18,BR,2023-05-08 23:27:27
186,soata,6.3337,-72.6828,19.06,82,100,1.09,CO,2023-05-08 23:27:27
187,pelplin,53.9283,18.6977,4.73,70,10,2.68,PL,2023-05-08 23:27:27
188,zeya,53.75,127.2667,2.63,67,100,5.81,RU,2023-05-08 23:27:27
189,lakatoro,-16.0999,167.4164,27.99,71,21,2.09,VU,2023-05-08 23:27:28
190,nuriootpa,-34.4833,139.0,9.75,82,63,2.18,AU,2023-05-08 23:27:28
191,kisangani,0.5167,25.2,22.29,94,99,0.97,CD,2023-05-08 23:27:28
192,punta arenas,-53.15,-70.9167,7.06,76,75,5.66,CL,2023-05-08 23:22:45
193,lompoc,34.6391,-120.4579,23.34,72,20,12.52,US,2023-05-08 23:21:52
194,isafjordur,66.0755,-23.124,4.99,94,91,2.76,IS,2023-05-08 23:22:58
195,colonia,50.9333,6.95,16.57,85,75,2.06,DE,2023-05-08 23:21:47
196,aasiaat,68.7098,-52.8699,-2.83,81,100,4.99,GL,2023-05-08 23:22:50
197,port-saint-louis-du-rhone,43.3833,4.8,19.13,63,0,4.12,FR,2023-05-08 23:27:29
198,wotho,10.1657,166.0102,27.39,83,100,7.8,MH,2023-05-08 23:27:30
199,tsiombe,-25.3,45.4833,20.91,95,14,1.9,MG,2023-05-08 23:22:52
200,constantia,44.1833,28.65,9.38,88,100,4.88,RO,2023-05-08 23:22:59
201,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,60,75,5.0,RU,2023-05-08 23:18:35
